month,region,phase_index,relationship_id,predictor_name,response_name,predictor_value,response_value,panel_letter,panel_title,row_label,x_label,y_label,R2,slope,intercept,slope_ci_low_95,slope_ci_high_95,slope_significant,delta_adjusted_R2_vs_HCCF
2003-05-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.018692725486786,-1.156812417404468,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2003-06-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.090353221053379,0.817395575294063,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2003-07-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.002016919708708,-0.380961067437647,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2003-08-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.025388535670320,0.072389381638367,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2003-09-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.046837725040102,-1.077099431753219,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2003-10-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.012888165690778,0.493908060272387,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2003-11-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.014596636442310,1.287648264367894,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2003-12-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.078011736903379,-2.348656933181363,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2004-01-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.103422210339787,1.989308675184763,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2004-02-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.095259275218639,-4.060359130203191,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2004-03-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.042595193760596,0.936096192314287,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2004-04-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.048535665298089,1.188950261997791,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2004-05-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.058241851006900,-1.053027611719343,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2004-06-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.052445105293222,-1.009417283220739,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2004-07-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.059176615531591,2.126285652971772,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2004-08-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.012935255289547,0.057990903646586,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2004-09-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.058434296023521,1.965937086313534,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2004-10-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.027529958869014,2.207265939112174,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2004-11-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.050498924558283,1.161636555969091,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2004-12-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.058956097191706,2.636935290493175,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2005-01-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.014382438290707,-1.427922275738810,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2005-02-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.142287921510287,2.542868357979800,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2005-03-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.081345535823693,-1.190899603373205,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2005-04-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.000656790008363,-0.256274561707058,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2005-05-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.055571736850576,-0.738198581446708,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2005-06-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.049259135835735,0.396758087753888,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2005-07-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.033149682416457,-0.472519990320700,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2005-08-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.005492780866042,-2.042221368249669,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2005-09-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.036498551251100,-1.972321994292307,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2005-10-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.022290304635497,1.331229470482404,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2005-11-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.094775588997687,-0.235959160963279,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2005-12-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.102922507071890,-1.345352319164381,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2006-01-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.076056042236683,-1.261072944024620,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2006-02-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.010952030236500,1.295685401059091,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2006-03-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.077140767025542,-2.020493440123496,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2006-04-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.122633531596061,-0.433309539405458,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2006-05-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.015339473259424,1.353276312325250,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2006-06-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.050845085535107,0.452179474410480,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2006-07-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.012749112003286,-3.084025521032604,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2006-08-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.012619319237594,-0.754054589298502,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2006-09-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.024267348383262,0.476271985196459,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2006-10-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.051802732847156,-0.112125299677076,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2006-11-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.127394254967419,1.431685659596308,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2006-12-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.111715335270311,1.967414828788267,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2007-01-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.002526893480606,0.468412478032138,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2007-02-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.009619935623561,0.422398836640323,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2007-03-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.009973250610918,-1.212738941379373,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2007-04-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.028648563345381,0.733183941772644,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2007-05-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.000808224756363,0.617695704873110,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2007-06-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.029721516418592,0.663220564487842,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2007-07-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.008720492193607,0.928680721630791,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2007-08-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.016152695254763,-0.647886499335845,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2007-09-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.042828279467101,-1.139153238295287,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2007-10-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.013048383523411,0.608053320271356,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2007-11-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.136965024751901,-1.128448582972917,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2007-12-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.027195838224472,0.447309927650427,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2008-01-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.040161153259490,1.573849510823283,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2008-02-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.084057267024506,-3.587389557538295,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2008-03-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.012723643895363,1.899165796271288,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2008-04-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.020465911323614,-0.612779018156101,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2008-05-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.033975463285398,-2.377595911184691,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2008-06-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.010414686857299,-0.905174959773666,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2008-07-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.038217116389890,1.750537690328912,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2008-08-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.003247997863015,-0.416975935658758,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2008-09-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.011794807874731,-0.803011777135112,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2008-10-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.017049689459875,-2.519336900490184,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2008-11-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.021658565519679,-0.786741769907106,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2008-12-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.066065196639758,-1.867450833147997,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2009-01-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.037891574676691,0.275313798194659,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2009-02-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.117765469760371,-4.016517076742012,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2009-03-01,WP,-1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.040953746480144,0.679897144393787,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2009-04-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,-0.016809872568397,0.381807118155642,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2009-05-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.037514955097928,0.256463768267477,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2009-06-01,WP,0,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.025335541018186,-0.193914153283219,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
2009-07-01,WP,1,HCCF_comparator,HCCF_anom,NetPath_high_total_anom,0.070211587567594,-2.629693765035533,(a),Western Pacific,HCCF → High-cloud pathway,HCCF anomaly,High-cloud Net CRE contribution (W m$^{-2}$),0.410931956000000,-16.070272304800000,0.000000000000000,-20.571603154900000,-13.664922615100000,True,
